Id,Name,WeekSales,WeekPSales,WeekBudget,WeekPBudget,PrevPeriodSales,PrevPeriodBudget,Date,ExpenseType
600,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
601,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
602,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
603,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
604,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
605,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
606,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
607,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
608,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
609,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
610,Credit Card Processing,74.25002,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
611,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
612,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
613,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
614,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
615,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
616,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
617,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
618,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
619,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
620,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
621,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
622,Credit Card Processing,74.47999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
623,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
624,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
625,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
626,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
627,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
628,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
629,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
630,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
631,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
632,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
633,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
634,Credit Card Processing,75.08999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
635,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
636,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
637,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
638,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
639,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
640,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
641,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
642,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
643,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
644,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
645,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
646,Credit Card Processing,75.08999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
647,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
648,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
649,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
650,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
651,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
652,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
653,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
654,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
655,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
656,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
657,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
658,Credit Card Processing,75.63999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
659,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
660,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
661,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
662,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
663,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
664,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
665,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
666,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
667,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
668,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
669,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
670,Credit Card Processing,75.77999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
671,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
672,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
673,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
674,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
675,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
676,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
677,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
678,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
679,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
680,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
681,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
682,Credit Card Processing,75.77999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
683,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
684,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
685,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
686,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
687,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
688,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
689,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
690,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
691,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
692,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
693,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
694,Credit Card Processing,76.30999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
695,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
696,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
697,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
698,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
699,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
700,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
701,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
702,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
703,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
704,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
705,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
706,Credit Card Processing,78.82999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
707,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
708,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
709,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
710,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
711,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
712,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
713,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
714,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
715,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
716,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
717,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
718,Credit Card Processing,74.24999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
719,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
720,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
721,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
722,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
723,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
724,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
725,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
726,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
727,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
728,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
729,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
730,Credit Card Processing,81.95,0.02478863,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
731,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
732,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
733,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
734,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
735,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
736,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
737,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
738,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
739,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
740,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
741,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
742,Credit Card Processing,81.95,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
743,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
744,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
745,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
746,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
747,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
748,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
749,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
750,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
751,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
752,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
753,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
754,Credit Card Processing,82.18001,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
755,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
756,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
757,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
758,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
759,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
760,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
761,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
762,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
763,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
764,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
765,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
766,Credit Card Processing,82.18001,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
767,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
768,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
769,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
770,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
771,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
772,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
773,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
774,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
775,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
776,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
777,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
778,Credit Card Processing,82.18001,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
779,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
780,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
781,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
782,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
783,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
784,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
785,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
786,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
787,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
788,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
789,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
790,Credit Card Processing,82.18001,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
791,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
792,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
793,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
794,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
795,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
796,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
797,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
798,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
799,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
800,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
801,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
802,Credit Card Processing,111.42,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
803,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
804,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
805,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
806,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
807,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
808,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
809,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
810,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
811,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
812,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
813,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
814,Credit Card Processing,155.7999,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
815,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
816,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
817,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
818,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
819,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
820,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
821,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
822,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
823,Food,12703.9,0.9500366,0,0,32531.49,0,2/12/2018 12:00:00 AM,Sales
824,Beverage,540.5905,0.04042703,0,0,1132.13,0,2/12/2018 12:00:00 AM,Sales
825,Other,127.52,0.009536338,0,0,153.03,0,2/12/2018 12:00:00 AM,Sales
826,Food,3563.8,0.2805281,0,0,7218.9,0,2/12/2018 12:00:00 AM,Cost of Sales
827,Beverage,0,0,0,0,125.8625,0,2/12/2018 12:00:00 AM,Cost of Sales
828,Paper Goods,0,0,0,0,1960.27,0,2/12/2018 12:00:00 AM,Cost of Sales
829,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
830,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
831,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
832,Credit Card Processing,238.5495,0,0,0,559.7301,0,1/29/2018 4:00:00 AM,Overhead Expense
833,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
834,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
835,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
836,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
837,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
838,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
839,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
840,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
841,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
842,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
843,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
844,Credit Card Processing,155.8,0,0,0,405.21,0,1/29/2018 4:00:00 AM,Overhead Expense
845,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
846,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
847,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
848,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
849,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
850,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
851,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
852,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
853,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
854,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
855,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
856,Credit Card Processing,1.72,0,0,0,749.8082,0,1/29/2018 4:00:00 AM,Overhead Expense
857,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
858,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
859,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
860,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
861,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
862,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
863,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
864,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
865,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
866,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
867,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
868,Credit Card Processing,35.81999,0,0,0,749.8082,0,1/29/2018 4:00:00 AM,Overhead Expense
869,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
870,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
871,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
872,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
873,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
874,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
875,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
876,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
877,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
878,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
879,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
880,Credit Card Processing,35.82,0,0,0,749.8082,0,1/29/2018 4:00:00 AM,Overhead Expense
881,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
882,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
883,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
884,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
885,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
886,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
887,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
888,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
889,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
890,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
891,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
892,Credit Card Processing,35.82,0,0,0,749.8082,0,1/29/2018 4:00:00 AM,Overhead Expense
893,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
894,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
895,Advertising and Promotion,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
896,Repairs & Maintenance,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
897,Occupancy Cost,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
898,Owners Draws,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
899,Loan Payment,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
900,Loan Tax,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Takeaway
901,Payroll,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
902,Payroll Taxes,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
903,Benefits & Expenditures,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Payroll
904,Credit Card Processing,35.82,0,0,0,749.8082,0,1/29/2018 4:00:00 AM,Overhead Expense
905,Direct Operating,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
906,Administrative,0,0,0,0,0,0,1/29/2018 4:00:00 AM,Overhead Expense
